"P","SPP_name","mean_2010","mean_2050","mean_2080","refugia_count_cells","transition_count_cells","lost_count_cells","refugia_percent","transition_percent","lost_percent"
"Acadia National Park","paper birch","3.47","4.21","4","618","420","126","53.1","36.1","10.8"
"Saint-Gaudens National Historic Site","paper birch","0.12","1.37","1.58","0","6","2","0","75","25"
"Marsh-Billings-Rockefeller National Historical Park","paper birch","1.23","2.75","2.55","11","15","1","40.7","55.6","3.7"
"Cape Cod National Seashore","paper birch","0.01","0.04","0.04","8","7","3","44.4","38.9","16.7"
"APPA_Aroostook Hills","paper birch","1.65","3.14","2.33","310","312","87","43.7","44","12.3"
"APPA_St. John Upland","paper birch","1.48","3.28","3.28","3904","2694","471","55.2","38.1","6.7"
"APPA_Maine Central Mountains","paper birch","3.72","3.43","3.11","34124","14455","7712","60.6","25.7","13.7"
"APPA_Maine-New Brunswick Lowlands","paper birch","1.85","1.92","1.14","135","133","44","43.3","42.6","14.1"
"APPA_Central Maine Foothills","paper birch","2.67","2.23","1.43","5375","4196","1694","47.7","37.2","15"
"APPA_Connecticut Lakes","paper birch","2.68","5.72","5.82","11430","4065","1832","66","23.5","10.6"
"APPA_Central Maine Embayment","paper birch","4.02","5.29","3.82","53","17","24","56.4","18.1","25.5"
"APPA_Mahoosic Rangely Lakes","paper birch","4.16","5.75","4.5","24519","8721","5530","63.2","22.5","14.3"
"APPA_Western Maine Foothills","paper birch","3.42","3.77","2.87","4226","2793","1357","50.5","33.3","16.2"
"APPA_Northern Piedmont","paper birch","4.01","3.62","2.66","3078","2205","1056","48.6","34.8","16.7"
"APPA_Northern Green Mountain","paper birch","3.41","3.27","2.14","1585","874","841","48","26.5","25.5"
"APPA_White Mountains","paper birch","6.53","5.86","6","20658","4655","3360","72","16.2","11.7"
"APPA_Sebago-Ossipee Hills and Plains","paper birch","2.2","1.88","1.69","1915","1591","925","43.2","35.9","20.9"
"APPA_Southern Piedmont","paper birch","2.15","3.18","2.68","6489","6427","1939","43.7","43.3","13.1"
"APPA_Sunapee Uplands","paper birch","2.85","3.33","2.56","4083","3008","1331","48.5","35.7","15.8"
